TweetId,AltText,conveysMeaning,axisInfo,axisOrValueScale,plotType,repeatTitle,TitleText,,OtherText,AnnotationNotes,,,
1378673876171907076,Evolution of the number of expeditions and deaths in the Himalayas,0,0,0,0,0,0,,NA,NA,,,
1378061757705519104,Part of the main source of renewable energy,0,0,0,0,1,Part of the main source of renewable energy,,NA,NA,,,
1378046890911145986,"A pictogram of all the villagers that have lived on my Animal Crossing island, arranged in a grid. The villagers that currently reside on my island have a filled in circle background, whereas the villagers that have moved out have a not-filled-in circle background. Explore underlying data here: https://github.com/MaiaPelletier/30DayChartChallenge/blob/main/day02%20-%20pictogram/data/my_animal_crossing_villagers.csv",0,NA,NA,0,0,NA,,NA,NA,,,
1377964862958108673,"Shades of makeup, exploring biases in available tones across brands' makeup products. In this graphic, I show Armani Beauty, Bare Minerals, and Sephora's makeup lines. The graphic seems to show a strong bias towards light colors, even in makeup lines with broad ranges.",1,0,0,0,0,NA,,NA,NA,,,
1377718143930535937,"6 pie charts where each chart represents a foundation from an affordable beauty brand and each slice is colored according to the foundation shade. Two of the foundations (from ULTA and Wet N Wild) show a limited number of shades as well as a lack of shades for tan and dark skin tones. The other four foundations (from ColourPop, e.l.f. Cosmetics, NYX, and SEPHORA) offer many shades with inclusive ranges from fair to dark.",1,NA,NA,1,0,NA,,NA,NA,,,
1377698461097676800,"The visualization shows one large graph at the top showing the distribution of foundation shades from 107 brands at Ulta and Sephora, which shows that there are more options for lighter complexions. There are then smaller graphs for 16 different categories of foundation shades. When foundation shades are categorized by their label, the distributions by category shows that drink and wood categories are more frequently used for darker shades while gem and skin categories are more frequently used for lighter shades",0,0,0,0,1,The distribution of foundation shades from 107 brands at Ulta and Sephora shows that there are more options for lighter complexions,,"When foundation shades are categorized by their label, the distributions by category shows that drink and wood categories are more frequently used for darker shades while gem and skin categories are more frequently used for lighter shades.",NA,,,
1377690522815500290,Part of renewable energy in France for electricity production,0,0,0,0,0,NA,,NA,NA,,,
1377668747985448967,Scatter plot of makeup palettes of top selling brands sorted by shade. Data originally from Pudding.cool,0,0,0,1,0,NA,,NA,NA,,,
1377340080289767424,"In this image are 3 separate triagnular ternary diagrams.  Each ternary digram plots hue, chroma and luminance on respective axes of the triangle.  The first is a plot of all makeup colors in the makeup dataset.  The second is a hexbin of those colors indicating higher frequency items, which are concentrated or biased towards lighter shades.  The third presents the average color for each make-up brand, which again bias towards ligther shades.  The data can be found at https://github.com/the-pudding/data/tree/master/foundation-names",1,0,0,0,0,Three Views of Bias in Beauty,,NA,NA,,,
1377329518009065479,Waffle plots of skin tone proportions of naming categories. Plot shows darker tones are over represented in wood and drink categories where as light skin tones dominate gem & plant names. The compliment category is made up of more light shades than dark.,0,0,1,1,0,NA,,NA,NA,,,
1377315225544839176,"The graph shows the bias toward dark shades in makeup product by looking at the sequence of labels, where the number prioritize the lighter shades. ",0,0,0,0,0,NA,,NA,NA,,,
1377312251007401985,"Dot interval of makeup shades divided by groups. 
Group 1: Low saturation and low light
Group 2: Low saturation and high light
Group 3: High saturation and low light
Group 4: High saturation and high light

It shows that makeup brands prefer shades with high light (resembling white skin), and they don't make as much shades with low light (resembling dark skin).",1,0,0,1,0,NA,,NA,NA,,,
1377289004022960129,Distribution of foundation shade lightness for products that have a light to dark ordering and those with a dark to light ordering. It shows products with a dark to light ordering have a more even spread of dark and light shades available.,1,0,0,0,0,NA,,NA,NA,,,
1377028986539274245,Six pie graphs show which foundation shades can be found in the brands with the most number of products. Link to data source: https://github.com/the-pudding/data/tree/master/foundation-names,0,NA,NA,1,0,NA,,NA,NA,,,
1377006664512106508,"A treemap showing the most common foundation names and the shades most representative of each name. The most common foundation name is ""neutral"" with 140 foundations. Data from The Pudding.",1,0,0,1,0,NA,,NA,NA,,,
1377004945052946439,"The data from The Pudding shows the categories of makeup shades that have been reported by skin type. The most reported category of shade name for every skin type was ""descriptor"" which makes up at least 29% of each skin type category. ""Descriptor"" names are those that describe characteristics of the shade like ""deep"" or ""light"". The three most reported categories after ""descriptor"" are shown. The most popular categories for lighter skin types are color, gem, and miscellaneous. As the skin type gets darker, the introduction of categories like food, drink, and even wood are seen. Graph with 6 bars for each skin type are shown. Text of the categories are displayed in order by percentage. Data source: The Pudding. Created by @meghansharris",1,0,0,0,0,NA,,NA,NA,,,
1376990459965419531,"A grid of a jitter plots showing the range of shades of foundation by key word in the name of the product. It looked at 12 common names including Beige, Caramel, Chocolate, Cream, Espresso, Ivory, Mocha, Nude, Olive, Sand, Tan, Walnut. It shows quite a spread of colour for each name, so 'beige' wont get you very far!",1,0,0,1,0,NA,,NA,NA,,,
1376963715493462022,"This graph shows a large heatmap with 6,815 tiles colored in skin tones, organized from light on the left to dark on the right. Each tile represents a foundation shade available from Sephora or Ulta US. The heading has a background of representative hues, with the text ""beauty bias palette."" The subtitle reads ""Representation of 6,815 foundation shades available from Sephora or Ulta US. Lighter shades have more diversity and availability."" The caption reads ""data from The Pudding, plot by @rjstevick for #TidyTuesday""",1,0,0,1,0,NA,,NA,NA,,,
1376942420961554435,Blue background with concentric circles in the center made up of points showing foundation colors for the ten brands with the highest number of unique shade values. bareMinerals has the highest number at 284 different shades. The circles are made up of dots that go from darkest to lightest shade,1,0,0,0,0,NA,,NA,NA,,,
1376918551957757960,"Jitter plot of lightness percentage of shades for 8 brands. Four of the brands have a large range of shades and four have a large number (200+) of shades available. Larger collections don't always have shades for the darkest tones. 

Data provided by The Pudding.",1,0,0,1,0,NA,,NA,NA,,,
1376644323991818247,"Boxplot showing the makeup foundation shades of fifteen brands that have more than 5 foundation products, where the brand Too Faced has the darkest foundation shade.",0,0,0,1,0,NA,,NA,NA,,,
1376611927649050625,"A histogram of makeup shades by hex color, labeled with their 'product name', highlighting that the majority of makeup shades named 'nude' skew to a caucasian skin tone.",1,0,0,1,0,NA,,NA,NA,,,
1376234432084983814,"On the left two barplots showing the proportion of times that a country voted ""no"", ""yes"" or ""abstained"" in a motion related to colonialism in the United Nations. The barplots are divided by human development index, showing on the top panel the developed and on the bottom the developing countries. The visualizations show that developed countries tend to vote ""no"" more often. On the right a world map shows the proportion of supported motions related to colonialism per country. Israel, The United States and Canada are the three developed countries that supported fewer motions.",1,0,0,1,0,NA,,NA,NA,,,
1376157551025385476,"Bar chart of tweets tagged with TidyTuesday hashtag for the past week, with the day of the week on the x axis and count on the y axis. There were a total of 169 TidyTuesday tagged tweets between 2021-03-21 and 2021-03-28. Sunday had 1 tweets, Monday had 16 tweets, Tuesday had 40 tweets, Wednesday had 35 tweets, Thursday had 28 tweets, Friday had 15 tweets, and Saturday had 34 tweets.",1,1,1,1,0,NA,,NA,NA,,,
